Player_Name,2025_Name,Matched_FullName,Player_Type,IPL_Team_2025,Batting_Innings,Bowling_Innings,Total_Innings,Match_Confidence,Match_Type
MD Shanaka,Dasun shanaka,Dasun Shanaka,All-Rounder,GT,3,0,3,1.0,exact_fullname_variation
KS Sharma,Karn Sharma,Karan Sharma,Bowler,MI,3,0,3,1.0,exact_fullname_variation
RA Bawa,Raj Angad Bawa,Raj Bawa,All-Rounder,MI,2,0,2,1.0,exact_variation
K Kushagra,Kumar Kushagra,Kumar Kushagra,WK-Batter,GT,2,0,2,1.0,exact_variation
KK Nair,Karun Nair,Karun Nair,Batter,DC,2,0,2,1.0,exact_fullname_variation
TL Seifert,Tim Seifert,Tim Seifert,WK-Batter,RCB,2,0,2,1.0,exact_fullname_variation
AA Kulkarni,Arshin Kulkarni,Arshin Kulkarni,All-Rounder,LSG,2,0,2,1.0,exact_fullname_variation
RS Hangargekar,Rajvardhan Hangargekar,Rajvardhan Hangargekar,All-Rounder,LSG,0,2,2,1.0,exact_fullname_variation
Mohit Rathee,Mohit Rathee,Mohit Rathee,Bowler,RCB,1,1,2,1.0,exact_variation
P Dubey,Harsh Dubey,Praveen Dubey,All-Rounder,SRH,1,1,2,0.857,lastname_fuzzy
KT Maphaka,Kwena Maphaka,Kwena Maphaka,Bowler,RR,0,2,2,1.0,exact_fullname_variation
K Khejroliya,Kulwant Khejroliya,Kulwant Khejroliya,Bowler,GT,0,2,2,1.0,exact_variation
SE Rutherford,Sherfane Rutherford,Sherfane Rutherford,Batter,GT,2,0,2,1.0,exact_fullname_variation
P Dubey,Harsh Dubey,Praveen Dubey,All-Rounder,SRH,1,1,2,0.857,lastname_fuzzy
MJ Suthar,Manav Suthar,Manav Suthar,Bowler,GT,1,1,2,1.0,exact_fullname_variation
SB Dubey,Shubham Dubey,Shubham Dubey,Batter,RR,2,0,2,1.0,exact_fullname_variation
Gurnoor Brar,Gurnoor Singh Brar,Gurnoor Brar,Bowler,GT,0,1,1,1.0,exact_variation
KM Jadhav,Madhav Tiwari,Kedar Jadhav,All-Rounder,DC,1,0,1,0.75,fuzzy_comprehensive
A Kamboj,Anshul Kamboj,Anshul Kamboj,All-Rounder,CSK,0,1,1,1.0,exact_variation
S Joseph,Shamar Joseph,Shamar Joseph,Bowler,LSG,0,1,1,1.0,exact_variation
J Yadav,Jayant Yadav,Jayant Yadav,All-Rounder,GT,0,1,1,1.0,exact_variation
D Ferreira,Donovan Ferreira,Donovan Ferreira,WK-Batter,DC,1,0,1,1.0,exact_variation
KL Nagarkoti,Kamlesh Nagarkoti,Kamlesh Nagarkoti,All-Rounder,CSK,0,1,1,1.0,exact_fullname_variation
S Kaul,Andre Siddarth,Siddarth Kaul,Batter,CSK,0,1,1,0.9,fuzzy_comprehensive
