Player_Name,Kaggle_Match_Name,Overall_SR,Overall_Avg,Overall_Boundary_Pct,Balls_vs_Pace,Innings_vs_Pace,SR_vs_Pace,Avg_vs_Pace,Boundary_Pct_vs_Pace,Deviation_vs_Pace,Confidence_vs_Pace,Balls_vs_Spin,Innings_vs_Spin,SR_vs_Spin,Avg_vs_Spin,Boundary_Pct_vs_Spin,Deviation_vs_Spin,Confidence_vs_Spin,Pace_Advantage
Atharva Taide,Atharva Taide,147.47,20.86,63.01,64,7,167.19,35.67,25.0,0.136,0.425,19,2,57.89,5.5,0.0,0.0,0.0,0.136
Axar Patel,Axar Patel,134.07,25.73,57.7,208,29,138.46,26.18,15.87,0.03,0.938,170,22,123.53,30.0,14.12,-0.08,0.9,0.111
Ayush Badoni,Ayush Badoni,129.93,21.88,51.19,268,31,141.04,29.08,16.42,0.077,0.95,126,19,117.46,24.67,8.73,-0.095,0.856,0.172
Azmatullah Omarzai,Azmatullah Omarzai,127.27,10.5,47.62,12,3,108.33,4.33,8.33,0.0,0.0,15,4,126.67,19.0,13.33,0.0,0.0,0.0
Darshan Nalkande,Darshan Nalkande,100.0,6.0,50.0,1,1,0.0,0.0,0.0,0.0,0.0,7,1,57.14,4.0,0.0,0.0,0.0,0.0
Dasun Shanaka,Dasun Shanaka,100.0,13.0,53.85,9,2,88.89,8.0,11.11,0.0,0.0,16,1,106.25,17.0,12.5,0.0,0.0,0.0
David Miller,David Miller,140.03,41.31,56.42,304,36,144.41,33.77,16.78,0.03,0.95,221,28,151.13,66.8,15.84,0.085,0.95,-0.054
Deepak Hooda,Deepak Hooda,130.14,20.22,53.56,245,28,132.24,23.14,16.73,0.014,0.95,181,21,126.52,20.82,10.5,-0.028,0.911,0.042
Devdutt Padikkal,Devdutt Padikkal,122.57,23.61,62.25,309,31,125.57,20.42,18.45,0.021,0.95,160,24,120.62,27.57,11.88,-0.015,0.89,0.036
Devon Conway,Devon Conway,141.28,48.63,62.34,323,19,140.56,50.44,19.81,-0.005,0.95,205,15,145.85,49.83,17.56,0.035,0.935,-0.04
Dewald Brevis,Dewald Brevis,136.18,23.0,71.5,70,9,127.14,14.83,20.0,-0.062,0.501,72,7,145.83,105.0,18.06,0.073,0.53,-0.136
Dhruv Jurel,Dhruv Jurel,152.69,21.25,59.61,95,16,181.05,24.57,25.26,0.196,0.796,45,11,111.11,25.0,8.89,-0.317,0.319,0.512
Donovan Ferreira,Donovan Ferreira,33.33,1.0,0.0,2,1,50.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0
Faf du Plessis,Faf du Plessis,145.07,40.59,62.68,482,39,157.05,39.84,23.65,0.083,0.95,328,32,135.37,40.36,13.11,-0.074,0.95,0.156
Glenn Maxwell,Glenn Maxwell,158.43,29.76,68.48,167,24,179.64,37.5,27.54,0.146,0.897,182,23,163.19,18.56,21.43,0.036,0.912,0.11
Glenn Phillips,Glenn Phillips,118.18,9.29,73.85,6,2,83.33,5.0,16.67,0.0,0.0,5,3,80.0,2.0,0.0,0.0,0.0,0.0
Hardik Pandya,Hardik Pandya,133.1,28.24,56.99,337,37,138.58,27.47,17.8,0.038,0.95,294,29,137.07,50.38,15.65,0.03,0.95,0.008
Harpreet Brar,Harpreet Brar,120.34,21.3,54.46,71,13,132.39,23.5,15.49,0.083,0.515,36,10,113.89,13.67,13.89,-0.049,0.307,0.132
Harry Brook,Harry Brook,123.38,21.11,61.05,84,10,113.1,19.0,16.67,-0.071,0.702,53,7,120.75,21.33,11.32,-0.02,0.344,-0.051
Harshal Patel,Harshal Patel,110.0,8.64,66.12,38,11,86.84,5.5,13.16,-0.16,0.309,18,5,122.22,11.0,16.67,0.0,0.0,-0.16
Heinrich Klaasen,Heinrich Klaasen,180.92,46.29,65.06,199,18,167.84,30.36,20.6,-0.09,0.929,183,18,183.61,84.0,21.86,0.02,0.913,-0.111
Ishan Kishan,Ishan Kishan,132.23,27.52,65.4,470,40,139.15,25.15,20.85,0.048,0.95,246,26,131.3,29.36,16.26,-0.007,0.95,0.055
Jake Fraser-McGurk,Jake Fraser-McGurk,235.88,44.14,89.32,79,7,232.91,92.0,43.04,-0.02,0.635,30,3,273.33,41.0,40.0,0.285,0.304,-0.306
Jitesh Sharma,Jitesh Sharma,151.91,22.53,66.57,197,27,162.94,24.69,22.84,0.076,0.927,172,24,141.86,27.11,16.28,-0.077,0.902,0.153
